,recomm,words,words_Update
烤鸭,67944,烤鸭,烤鸭
虾饺,35605,虾饺,虾饺
水煮鱼,35183,水煮鱼,水煮鱼
毛血旺,27728,毛血旺,毛血旺
三文鱼,24702,三文鱼,三文鱼
虾滑,23643,虾-滑,火锅-虾滑
羊肉串,23277,羊肉串,羊肉串
冰火菠萝油,20914,冰火-菠萝油,冰火-菠萝油
虾饺皇,20756,虾饺-皇,虾饺皇-粤
榴莲酥,20482,榴莲-酥,榴莲酥-酥
水煮鲶鱼,18769,水煮-鲶鱼,水煮-鲶鱼
馋嘴牛蛙,18373,馋嘴-牛蛙,馋嘴-牛蛙
宫保鸡丁,15961,宫保鸡-丁,宫保-鸡丁
面包诱惑,15575,面包-诱惑,面包
钵钵鸡,14809,钵-钵-鸡,钵钵-鸡-麻辣-川
红烧肉,13632,红烧肉,红烧肉
凤爪,13620,凤爪,凤爪
酸菜鱼,13429,酸菜鱼,酸菜鱼
滑牛肉,13214,滑-牛肉,滑-牛肉-闽
剁椒鱼头,12884,剁-椒-鱼头,剁椒-鱼头
乳鸽,11731,乳鸽,乳鸽
骨头锅,11380,骨头-锅,骨头-锅底
皮蛋瘦肉粥,11202,皮蛋-瘦肉粥,皮蛋-瘦肉粥
东坡肉,10888,东坡肉,东坡肉
咖喱皇炒蟹,10707,咖喱-皇-炒-蟹,咖喱-炒蟹
鸭血,10342,鸭血,鸭血
秘制酥皮虾,9934,秘制-酥皮-虾,酥皮-虾
蜂蜜厚多士,9777,蜂蜜-厚多士,蜂蜜-厚多士-吐司
绿茶烤肉,9669,绿茶-烤肉,绿茶-烤肉
抻面,9631,抻-面,抻面
三杯鸡,9590,三杯-鸡,三杯-鸡
鸳鸯鱼头,8848,鸳鸯-鱼头,鸳鸯-鱼头
麻婆豆腐,8788,麻婆豆腐,麻婆豆腐
三文鱼刺身,8649,三文鱼-刺身,三文鱼-刺身
口水鸡,8633,口水鸡,口水-鸡
锅包肉,8346,锅包肉,锅包肉
牛排,8260,牛排,牛排
手撕包菜,7805,手-撕-包菜,手撕-包菜
豉汁蒸凤爪,7719,豉汁-蒸-凤爪,豉汁-蒸-凤爪
鲜虾云吞,7598,鲜虾-云吞,鲜虾-云吞
绿茶饼,7560,绿茶-饼,绿茶-饼
酸汤肥牛,7490,酸-汤-肥牛,酸汤-肥牛
腊味煲仔饭,7469,腊味-煲仔饭,腊味-煲仔饭
土豆泥,7453,土豆泥,土豆-泥
蟹黄豆腐,7434,蟹黄-豆腐,蟹黄-豆腐
菠萝油,7400,菠萝油,菠萝油
鸳鸯锅底,7371,鸳鸯-锅底,鸳鸯-锅底
干锅牛蛙,7155,干锅-牛蛙,干锅-牛蛙
炭烧猪颈肉,6943,炭烧-猪颈肉,炭烧-猪颈肉
菲力牛排,6785,菲力-牛排,菲力-牛排
肠粉,6648,肠粉,肠粉
马来咖喱牛腩,6331,马来-咖喱-牛腩,马来-咖喱-牛腩
提拉米苏,6181,提拉-米苏,提拉-米苏
松鼠桂鱼,6129,松鼠-桂鱼,松鼠-桂鱼
麻辣小龙虾,6096,麻辣-小龙虾,麻辣-小龙虾
精品烤鸭,6081,精品-烤鸭,烤鸭
烧鹅,6010,烧鹅,烧鹅
大盘鸡,5966,大盘鸡,大盘鸡
芥末鸭掌,5853,芥末-鸭掌,芥末-鸭掌
馋嘴蛙,5811,馋嘴-蛙,馋嘴-蛙
茶香鸡,5787,茶香-鸡,茶香-鸡
扇贝,5675,扇贝,扇贝
鱼头泡饼,5630,鱼头-泡饼,鱼头-泡饼
炭烧生蚝,5604,炭烧-生-蚝,炭烧-生-蚝
龙井虾仁,5604,龙井-虾仁,龙井-虾仁
咖喱牛腩,5458,咖喱-牛腩,咖喱-牛腩
清炒虾仁,5427,清炒虾仁,清炒虾仁
脆皮乳鸽,5426,脆皮-乳鸽,脆皮-乳鸽
糖醋小排,5239,糖醋-小排,糖醋-小排
